taxonID,taxonRank,scientificName,establishmentMeans,genus,family,order,class,phylum,kingdom,datasetName
urn:lsid:biodiversity.org.au:afd.taxon:2bbc4c67-9658-49f6-b77e-343ae1d026e1,species,Heterodoxus macropus,,Heterodoxus,BOOPIIDAE,PSOCODEA,INSECTA,ARTHROPODA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:b4619ca1-6e72-4c4c-90aa-9fa2fccfeffe,species,Cytostethum macropus,,Cytostethum,ATOPOMELIDAE,SARCOPTIFORMES,ARACHNIDA,ARTHROPODA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:51ac74ee-fa25-48dd-8c96-2c268f2e3324,species,Prosena macropus,,Prosena,TACHINIDAE,DIPTERA,INSECTA,ARTHROPODA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:57522529-4e36-4f57-a626-47eeccba3b76,species,Austropyrgus macropus,,Austropyrgus,HYDROBIIDAE,HYPSOGASTROPODA,GASTROPODA,MOLLUSCA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:575f92ea-f72d-424b-8f4b-4d12359188d7,subspecies,Macropus eugenii eugenii,,Macropus,MACROPODIDAE,DIPROTODONTIA,MAMMALIA,CHORDATA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:ff0a0d19-8d0e-4067-b210-4d0b3f7d9ba9,subspecies,Macropus fuliginosus fuliginosus,,Macropus,MACROPODIDAE,DIPROTODONTIA,MAMMALIA,CHORDATA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:0bf79753-c526-42bb-a43d-d5f5f97f2f90,subspecies,Macropus agilis agilis,,Macropus,MACROPODIDAE,DIPROTODONTIA,MAMMALIA,CHORDATA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:233a86ef-852a-4503-9aae-1f03a2f833db,species,Mexichromis macropus,,Mexichromis,CHROMODORIDIDAE,NUDIBRANCHIA,GASTROPODA,MOLLUSCA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:cd2f60f5-cb6d-48f6-bc06-0dc796bd6c7f,subspecies,Macropus agilis jardinii,,Macropus,MACROPODIDAE,DIPROTODONTIA,MAMMALIA,CHORDATA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:fe69ffcc-a108-4675-a25c-f4428203e4de,species,Macropus irma,,Macropus,MACROPODIDAE,DIPROTODONTIA,MAMMALIA,CHORDATA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:dc05eac3-96ff-4f94-b0bd-f090f264718b,species,Macropus parryi,,Macropus,MACROPODIDAE,DIPROTODONTIA,MAMMALIA,CHORDATA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:f5c920a3-cc1a-4ac9-9a34-19c6cc6a833e,subspecies,Ctenophorus caudicinctus macropus,,Ctenophorus,AGAMIDAE,SQUAMATA,REPTILIA,CHORDATA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:96c485c1-bc43-40be-a0c2-e331fe5ed839,species,Thalamita macropus,,Thalamita,PORTUNIDAE,DECAPODA,MALACOSTRACA,ARTHROPODA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:352dd6e7-86e1-4745-86fb-7871993bdb17,subspecies,Macropus robustus woodwardi,,Macropus,MACROPODIDAE,DIPROTODONTIA,MAMMALIA,CHORDATA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:9e6a0bba-de5b-4465-8544-aa8fe3943fab,genus,Macropus,,,MACROPODIDAE,DIPROTODONTIA,MAMMALIA,CHORDATA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:7dfe05e9-14dd-4fce-ae25-0dc5a772998a,subspecies,Macropus fuliginosus melanops,,Macropus,MACROPODIDAE,DIPROTODONTIA,MAMMALIA,CHORDATA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:6e8e49d5-da08-4567-9b18-429bd6a53237,species,Macropus fuliginosus,,Macropus,MACROPODIDAE,DIPROTODONTIA,MAMMALIA,CHORDATA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:9d5d9e5b-4374-4129-aa9a-ff7921f3b1c9,species,Macropus robustus,,Macropus,MACROPODIDAE,DIPROTODONTIA,MAMMALIA,CHORDATA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:a3f66cb6-fd75-4e24-b104-9e3f09c52356,subspecies,Macropus eugenii decres,,Macropus,MACROPODIDAE,DIPROTODONTIA,MAMMALIA,CHORDATA,ANIMALIA,Australian Faunal Directory
urn:lsid:biodiversity.org.au:afd.taxon:53026a84-c638-4ea7-a498-dcbf611f3173,species,Macropus eugenii,,Macropus,MACROPODIDAE,DIPROTODONTIA,MAMMALIA,CHORDATA,ANIMALIA,Australian Faunal Directory
